rank,Net Worth ($B),Age,Country of Residence,City of Residence,Source,Industries,Origin Country,Self Made,Gender,Surname,First Name,Birth Year,Residence Country CPI Inflation Percentage,Residence Country GDP,Residence Country Tertiary Education Enrollment Percentage,Country of Residence Life Expectancy,Country of Residence Population
1368,2.2,77,Japan,Tokyo,Real estate,Real Estate,Japan,True,M,Tada,Katsumi,1945,5.5%,5081769542380,63.2%,84.2,126226568
1368,2.2,67,China,Suzhou,"Textiles, petrochemicals",Manufacturing,China,True,M,Tang,Jinkui,1955,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,55,China,Shanghai,Software,Technology,Hong Kong,True,M,Tang,Xiao'ou,1968,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,73,Sweden,Stockholm,H&M,Fashion & Retail,Sweden,False,F,Tham,Lottie,1949,10.5%,530832908738,67.0%,82.5,10285453
1368,2.2,46,United Arab Emirates,Abu Dhabi,Healthcare,Healthcare,India,False,M,Vayalil,Shamsheer,1977,14.5%,421142267938,36.8%,77.8,9770529
1368,2.2,50,India,Chennai,Business software,Technology,India,False,F,Vembu,Radha,1972,80.4%,2611000000000,28.1%,69.4,1366417754
1368,2.2,66,China,Quanzhou,Sports apparel,Fashion & Retail,China,True,M,Wang,Wenmo,1957,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,78,China,Shanghai,Budget airline,Service,China,True,M,Wang,Zhenghua,1944,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,55,China,Ningde,Batteries,Energy,China,True,M,Wu,Kai,1968,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,55,China,Guangzhou,Agribusiness,Food & Beverage,China,True,M,Xu,Yingzhuo,1968,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,57,China,Shanghai,Package delivery,Logistics,China,True,M,Yu,Huijiao,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1368,2.2,58,United States,Los Altos,Investments,Finance & Investments,Israel,True,M,Zeev,Oren,1964,17.2%,21427700000000,88.2%,78.5,328239523
1368,2.2,54,Canada,Windsor,Steel,Manufacturing,Canada,False,M,Zekelman,Clayton,1969,16.8%,1736425629520,68.9%,81.9,36991981
1368,2.2,57,China,Ningde,Batteries,Energy,China,True,M,Zhao,Fenggang,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,55,United Kingdom,London,"Mining, commodities",Metals & Mining,United Kingdom,True,M,Beard,Alex,1967,19.6%,2827113184696,60.0%,81.3,66834405
1434,2.1,52,United States,Grants Pass,Coffee,Food & Beverage,United States,True,M,Boersma,Travis,1971,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,65,France,Paris,"Construction, media",Construction & Engineering,France,False,M,Bouygues,Martin,1957,10.0%,2715518274227,65.6%,82.5,67059887
1434,2.1,91,United States,Las Vegas,"Casinos, banking",Gambling & Casinos,United States,True,M,Boyd,William,1931,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,70,India,Delhi,Consumer goods,Food & Beverage,India,False,M,Burman,Anand,1952,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,71,China,Hangzhou,Manufacturing,Manufacturing,China,True,M,Cao,Ji,1952,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,52,China,Beijing,Software,Technology,China,False,M,Chi,Yufeng,1971,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,82,Switzerland,Zurich,Hearing aids,Healthcare,Switzerland,True,M,Diethelm,Beda,1941,-0.5%,703082435360,59.6%,83.6,8574832
1434,2.1,64,Italy,Milan,Luxury goods,Fashion & Retail,Italy,True,M,Dolce,Domenico,1958,10.6%,2001244392042,61.9%,82.9,60297396
1434,2.1,59,Germany,Montabaur,Internet service provider,Technology,Germany,True,M,Dommermuth,Ralph,1963,12.8%,3845630030824,70.2%,80.9,83132799
1434,2.1,50,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,True,M,Domuschiev,Georgi,1972,19.6%,2827113184696,60.0%,81.3,66834405
1434,2.1,53,United Kingdom,London,"Animal health, investments",Diversified,Bulgaria,True,M,Domuschiev,Kiril,1969,19.6%,2827113184696,60.0%,81.3,66834405
1434,2.1,78,Australia,Surfers Paradise,Real estate,Real Estate,Australia,True,M,Ell,Bob,1944,19.8%,1392680589329,113.1%,82.7,25766605
1434,2.1,65,United States,El Paso,Oil refining,Energy,United States,True,M,Foster,Paul,1957,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,60,Italy,Milan,Luxury goods,Fashion & Retail,Italy,True,M,Gabbana,Stefano,1962,10.6%,2001244392042,61.9%,82.9,60297396
1434,2.1,59,China,Huzhou,Steel,Manufacturing,China,True,M,Gao,Xingjiang,1963,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,89,United States,San Francisco,Getty Oil,Energy,United States,False,M,Getty,Gordon,1933,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,64,United States,Naples,"Space, energy",Energy,United States,True,M,Ghaffarian,Kamal,1958,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,78,United States,Durham,Clinical trials,Healthcare,United Kingdom,True,M,Gillings,Dennis,1944,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,65,India,Mumbai,Diversified,Diversified,India,False,M,Goenka,Harsh,1957,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,62,India,Kolkata,Diversified,Diversified,India,False,M,Goenka,Sanjiv,1961,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,67,United States,New York,Real estate,Real Estate,United States,False,F,Goldman,Jane,1955,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,66,Norway,Oslo,Consumer goods,Fashion & Retail,Norway,True,M,Hagen,Stein Erik,1956,20.3%,403336363636,82.0%,82.8,5347896
1434,2.1,56,Switzerland,Geneva,"Real estate, investments",Real Estate,Lebanon,False,M,Hariri,Bahaa,1966,-0.5%,703082435360,59.6%,83.6,8574832
1434,2.1,72,Spain,Valencia,Supermarkets,Fashion & Retail,Spain,False,F,Herrero,Hortensia,1950,11.0%,1394116310769,88.9%,83.3,47076781
1434,2.1,49,China,Suzhou,Machinery,Manufacturing,China,True,M,Huang,Min,1973,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,40,United States,Easton,Payment processing,Technology,United States,True,M,Isaacman,Jared,1983,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,57,Russia,Moscow,Software,Technology,Russia,True,M,Kaspersky,Eugene,1965,80.8%,1699876578871,81.9%,72.7,144373535
1434,2.1,48,Cyprus,Limassol,Retail,Fashion & Retail,Russia,True,M,Khachatryan,Artem,1975,2.5%,24564647935,75.9%,80.8,1198575
1434,2.1,47,Russia,Moscow,Retail,Food & Beverage,Russia,True,M,Krivenko,Andrei,1975,80.8%,1699876578871,81.9%,72.7,144373535
1434,2.1,62,United States,New York,Hedge funds,Finance & Investments,United States,True,M,Lasry,Marc,1960,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,82,France,Lyon,Accounting services,Finance & Investments,France,True,M,Latouche,Christian,1940,10.0%,2715518274227,65.6%,82.5,67059887
1434,2.1,67,United States,Bethesda,Sports teams,Sports,United States,True,M,Leonsis,Theodore,1956,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,60,China,Shenzhen,Power supply equipment,Manufacturing,China,True,M,Liu,Chengyu,1962,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,49,Cyprus,Paphos,Retail,Fashion & Retail,Russia,True,M,Lomakin,Sergey,1973,2.5%,24564647935,75.9%,80.8,1198575
1434,2.1,54,United States,New York,Snack bars,Food & Beverage,United States,True,M,Lubetzky,Daniel,1968,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,65,China,Beijing,Internet search,Technology,China,True,F,Ma,Melissa,1957,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,67,India,Mumbai,Diversified,Diversified,India,False,M,Mahindra,Anand,1955,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,72,India,Mumbai,Footwear,Fashion & Retail,India,False,M,Malik,Rafique,1950,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,41,Sweden,Stockholm,Investments,Diversified,Sweden,False,F,Martinson,Katarina,1981,10.5%,530832908738,67.0%,82.5,10285453
1434,2.1,70,India,Bangalore,Biopharmaceuticals,Healthcare,India,True,F,Mazumdar-Shaw,Kiran,1953,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,65,India,Gurgaon,Auto parts,Automotive,India,False,M,Minda,Nirmal,1957,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,43,China,Beijing,E-commerce,Technology,China,True,M,Mu,Rongjun,1980,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,60,Russia,Moscow,"Metals, banking, fertilizers",Finance & Investments,Russia,True,M,Nesis,Alexander,1962,80.8%,1699876578871,81.9%,72.7,144373535
1434,2.1,66,China,Suzhou,Appliances,Manufacturing,China,True,M,Ni,Zugen,1957,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,76,Spain,Madrid,Construction,Construction & Engineering,Spain,True,M,Perez,Florentino,1947,11.0%,1394116310769,88.9%,83.3,47076781
1434,2.1,62,Ukraine,Kiev,"Steel pipes, diversified",Metals & Mining,Ukraine,True,M,Pinchuk,Victor,1960,181.7%,153781069118,82.7%,71.6,44385155
1434,2.1,41,India,Bangalore,Education technology,Technology,India,True,M,Raveendran,Byju,1981,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,65,India,Hyderabad,Infrastructure,Construction & Engineering,India,True,M,Reddy,P.P.,1957,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,41,United States,Los Angeles,Fast fashion,Fashion & Retail,United States,True,M,Saghian,Richard,1981,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,49,China,Beijing,Medical cosmetics,Healthcare,China,True,M,Shi,Yifeng,1974,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,73,United Arab Emirates,Dubai,Investments,Finance & Investments,Thailand,True,M,Shinawatra,Thaksin,1949,14.5%,421142267938,36.8%,77.8,9770529
1434,2.1,53,Singapore,Singapore,Restaurants,Food & Beverage,Singapore,True,F,Shu,Ping,1957,14.4%,372062527489,84.8%,83.1,5703569
1434,2.1,75,United States,Chestnut Hill,Biotech,Healthcare,United States,True,M,Springer,Timothy,1948,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,70,India,Chennai,Two-wheelers,Automotive,India,False,M,Srinivasan,Venu,1952,80.4%,2611000000000,28.1%,69.4,1366417754
1434,2.1,68,United States,Sewickley,Dick's Sporting Goods,Fashion & Retail,United States,True,M,Stack,Edward,1954,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,73,China,Yantai,Edible oil,Food & Beverage,China,True,M,Sun,Mengquan,1950,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,55,Russia,Moscow,Real estate,Finance & Investments,Russia,True,M,Svetakov,Alexander,1968,80.8%,1699876578871,81.9%,72.7,144373535
1434,2.1,56,Germany,Krefeld,Pet food,Fashion & Retail,Germany,True,M,Toeller,Torsten,1966,12.8%,3845630030824,70.2%,80.9,83132799
1434,2.1,74,United States,Fayetteville,Food processing,Food & Beverage,United States,False,F,Tyson,Barbara,1949,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,50,United States,Norwich,Greek yogurt,Food & Beverage,Turkey,True,M,Ulukaya,Hamdi,1972,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,54,China,Beijing,Furniture retailing,Construction & Engineering,China,True,M,Wang,Linpeng,1968,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,69,China,Tianjin,"Food, beverages",Food & Beverage,Taiwan,True,M,Wei,Ing-Chou,1953,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,64,China,Shanghai,"Food, beverages",Food & Beverage,Taiwan,True,M,Wei,Yin-Heng,1959,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,80,United States,Las Vegas,"Casinos, hotels",Gambling & Casinos,United States,True,F,Wynn,Elaine,1942,17.2%,21427700000000,88.2%,78.5,328239523
1434,2.1,53,China,Ningbo,Auto parts,Automotive,China,True,M,Xu,Xudong,1970,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,57,China,Ningbo,Glass,Manufacturing,China,True,M,Yu,Qibing,1965,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,72,China,Suzhou,Metal processing,Manufacturing,China,True,M,Yuan,Fugen,1950,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,49,China,Shanghai,Chemicals,Manufacturing,Canada,True,F,Zhang,Ning,1974,25.1%,19910000000000,50.6%,77.0,1397715000
1434,2.1,57,China,Xi'an,Pharmaceuticals,Healthcare,Singapore,False,M,Zhao,Tao,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,80,India,Pune,Engineering,Construction & Engineering,India,False,F,Aga,Anu,1942,80.4%,2611000000000,28.1%,69.4,1366417754
1516,2.0,94,United Kingdom,London,"Retail, investments",Fashion & Retail,Egypt,True,M,Al Fayed,Mohamed,1929,19.6%,2827113184696,60.0%,81.3,66834405
1516,2.0,49,United Kingdom,London,Online dating,Technology,United Kingdom,True,M,Andreev,Andrey,1974,19.6%,2827113184696,60.0%,81.3,66834405
1516,2.0,62,Czech Republic,Prague,Software,Technology,Czech Republic,True,M,Baudis,Pavel,1960,16.5%,246489245495,64.1%,79.0,10669709
1516,2.0,44,China,Shangyu,Semiconductors,Manufacturing,China,True,M,Cao,Jianwei,1978,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,52,China,Shanghai,Stationery,Manufacturing,China,True,M,Chen,Huwen,1970,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,71,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,Chiaravanont,Phongthep,1952,13.3%,543649976166,49.3%,76.9,69625582
1516,2.0,69,China,Hangzhou,"Energy, chemicals",Diversified,China,True,M,Dou,Zhenggang,1953,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,85,United States,Houston,Low-cost airlines,Diversified,United States,True,M,Franke,William,1937,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,68,United States,Rhinebeck,Real estate,Real Estate,United States,False,F,Goldman Fowler,Amy,1954,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,47,United Kingdom,London,Mining,Metals & Mining,Australia,False,M,Hancock,John,1976,19.6%,2827113184696,60.0%,81.3,66834405
1516,2.0,58,China,Hangzhou,Technology,Technology,China,True,M,Hu,Yangzhong,1965,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,64,China,Hangzhou,Amusement parks,Media & Entertainment,China,True,M,Huang,Qiaoling,1958,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,55,United States,Fort Lauderdale,Finance,Finance & Investments,United States,True,M,Jain,Rajiv,1968,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,60,United States,Jupiter,"Charlotte Hornets, endorsements",Sports,United States,True,M,Jordan,Michael,1963,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,77,United States,New York,Real estate,Real Estate,United States,False,F,Kemper,Diane,1945,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,57,Israel,Tel Aviv,"Software, investments",Technology,Israel,True,M,Kramer,Shlomo,1966,8.2%,395098666122,63.4%,82.8,9053300
1516,2.0,77,Finland,Helsinki,Dental products,Healthcare,Finland,True,M,Kyostila,Heikki,1946,12.3%,268761201365,88.2%,81.7,5520314
1516,2.0,57,China,Fuzhou,Semiconductor,Technology,China,True,M,Li,Min,1965,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,40,China,Beijing,TikTok,Technology,China,True,M,Liang,Rubo,1983,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,58,China,Foshan,Appliances,Manufacturing,China,False,M,Liang,Zhaoxian,1965,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,61,China,Linyi,"Energy, real estate",Energy,China,True,M,Lin,Fanlian,1961,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,64,Thailand,Bangkok,Petrochemicals,Manufacturing,India,False,M,Lohia,Aloke,1958,13.3%,543649976166,49.3%,76.9,69625582
1516,2.0,73,Canada,Ottawa,Real estate,Real Estate,Canada,True,M,Malhotra,Bill,1949,16.8%,1736425629520,68.9%,81.9,36991981
1516,2.0,63,Israel,Tel Aviv,Investments,Finance & Investments,Russia,True,M,Mamut,Alexander,1960,8.2%,395098666122,63.4%,82.8,9053300
1516,2.0,73,United States,Hunts Point,Telecom,Telecom,United States,False,M,McCaw,Craig,1949,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,59,China,Wenzhou,Power equipment,Manufacturing,China,True,M,Nan,Cunhui,1963,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,47,China,Shanghai,Logistics,Service,China,True,M,Nie,Tengyun,1976,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,75,Singapore,Singapore,Investments,Finance & Investments,Singapore,False,M,Oei,Hong Leong,1948,14.4%,372062527489,84.8%,83.1,5703569
1516,2.0,69,Australia,Brisbane,Mining,Metals & Mining,Australia,True,M,Palmer,Clive,1954,19.8%,1392680589329,113.1%,82.7,25766605
1516,2.0,48,United States,Park City,Cybersecurity,Technology,United States,True,M,Prince,Matthew,1975,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,69,United States,Missoula,"Hotels, investments",Service,United States,False,F,Pritzker,Linda,1953,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,53,India,Hyderabad,Infrastructure,Construction & Engineering,India,True,M,Reddy,P.V. Krishna,1969,80.4%,2611000000000,28.1%,69.4,1366417754
1516,2.0,46,Australia,Brisbane,Mining,Metals & Mining,Australia,False,F,Rinehart,Bianca,1977,19.8%,1392680589329,113.1%,82.7,25766605
1516,2.0,36,Australia,Sydney,Mining,Metals & Mining,Australia,False,F,Rinehart,Ginia,1986,19.8%,1392680589329,113.1%,82.7,25766605
1516,2.0,87,United States,Sioux Falls,"Banking, credit cards",Finance & Investments,United States,True,M,Sanford,T. Denny,1935,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,71,India,Ahmedabad,Engineering,Manufacturing,India,True,M,Shah,Bhadresh,1951,80.4%,2611000000000,28.1%,69.4,1366417754
1516,2.0,66,Poland,Warsaw,TV broadcasting,Media & Entertainment,Poland,True,M,Solorz-Zak,Zygmunt,1956,14.1%,592164400688,67.8%,77.6,37970874
1516,2.0,67,Germany,Darmstadt,Cosmetics,Fashion & Retail,Germany,False,F,Stroeher,Sylvia,1955,12.8%,3845630030824,70.2%,80.9,83132799
1516,2.0,69,Indonesia,Jakarta,Data centers,Technology,Indonesia,True,M,Sugiri,Otto Toto,1953,51.2%,1119190780753,36.3%,71.5,270203917
1516,2.0,77,Canada,Toronto,Sports,Sports,Canada,True,M,Tanenbaum,Larry,1945,16.8%,1736425629520,68.9%,81.9,36991981
1516,2.0,76,Thailand,Bangkok,Investments,Finance & Investments,Thailand,True,M,Thongtang,Wichai,1947,13.3%,543649976166,49.3%,76.9,69625582
1516,2.0,83,Romania,Bucharest,"Banking, insurance",Finance & Investments,Romania,True,M,Tiriac,Ion,1939,23.8%,250077444017,49.4%,75.4,19356544
1516,2.0,37,United States,New York,Mining,Metals & Mining,Australia,False,F,Welker,Hope,1985,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,82,United States,Ypsilanti,Plastics,Manufacturing,United States,True,M,Young,William,1941,17.2%,21427700000000,88.2%,78.5,328239523
1516,2.0,57,China,Shenzhen,Touch screens,Technology,China,True,M,Zhang,Fan,1965,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,57,China,Beijing,Semiconductor,Technology,China,True,M,Zhang,Shilong,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,73,China,Chaozhou,Electronics components,Manufacturing,China,True,M,Zhang,Wanzhen,1949,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,48,China,Beijing,Software,Technology,China,True,M,Zhao,Hongfei,1974,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,46,China,Shenzhen,Solar energy equipment,Energy,China,True,M,Zhou,Jian,1976,25.1%,19910000000000,50.6%,77.0,1397715000
1516,2.0,59,China,Shanghai,Healthcare,Healthcare,China,True,M,Zhu,Yiwen,1964,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,74,Chile,Santiago,"Forestry, mining",Diversified,Chile,False,M,Angelini Rossi,Roberto,1948,31.9%,282318159745,88.5%,80.0,18952038
1575,1.9,56,Finland,Helsinki,Oil & gas,Energy,Finland,True,M,Anttonen,Mika,1966,12.3%,268761201365,88.2%,81.7,5520314
1575,1.9,53,United States,New York,Sports,Sports,United States,True,M,Blitzer,David,1969,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,87,Brazil,Rio de Janeiro,Banking,Finance & Investments,Brazil,True,M,Bozano,Julio,1936,67.4%,1839758040766,51.3%,75.7,212559417
1575,1.9,55,Russia,Irkutsk,"Oil, gas",Energy,Russia,True,M,Buinov,Nikolai,1967,80.8%,1699876578871,81.9%,72.7,144373535
1575,1.9,82,Italy,Rome,Luxury goods,Fashion & Retail,Italy,False,M,Bulgari,Nicola,1941,10.6%,2001244392042,61.9%,82.9,60297396
1575,1.9,71,United States,San Antonio,Supermarkets,Fashion & Retail,United States,False,M,Butt,Howard,1952,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,56,China,Shanghai,Furniture retailing,Fashion & Retail,China,True,M,Che,Jianxing,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,52,China,Shanghai,Stationery,Manufacturing,China,True,M,Chen,Huxiong,1970,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,65,China,Ningde,Batteries,Energy,China,True,F,Chen,Qiongxiang,1957,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,57,China,Xiamen,Communication equipment,Technology,China,True,M,Chen,Zhisong,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,65,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,Chiaravanond,Manas,1957,13.3%,543649976166,49.3%,76.9,69625582
1575,1.9,74,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,Chiravanond,Prathip,1948,13.3%,543649976166,49.3%,76.9,69625582
1575,1.9,60,United States,Old Lyme,Cargill,Food & Beverage,United States,False,F,Daitch,Alexandra,1963,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,57,Spain,Madrid,Coca-Cola bottler,Food & Beverage,Spain,False,F,Daurella,Sol,1966,11.0%,1394116310769,88.9%,83.3,47076781
1575,1.9,67,United States,Henderson,Las Vegas Raiders,Sports,United States,False,M,Davis,Mark,1955,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,63,United States,North Salem,Hedge funds,Finance & Investments,United States,True,M,Dinan,James,1959,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,53,China,Zhuhai,Medical devices,Healthcare,China,True,M,Dong,Fan,1957,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,65,Germany,Landshut,Auto parts,Automotive,Germany,False,M,Draexlmaier,Fritz,1957,12.8%,3845630030824,70.2%,80.9,83132799
1575,1.9,73,Turkey,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,False,M,Eczacibasi,Bulent,1949,134.4%,754411708203,23.9%,77.4,83429615
1575,1.9,68,Turkey,Istanbul,"Pharmaceuticals, diversified",Diversified,Turkey,False,M,Eczacibasi,Faruk,1954,134.4%,754411708203,23.9%,77.4,83429615
1575,1.9,90,Argentina,Buenos Aires,"Airports, investments",Diversified,Argentina,True,M,Eurnekian,Eduardo,1932,132.8%,449663446954,90.0%,76.5,44938712
1575,1.9,59,China,Kunming,Cosmetics,Fashion & Retail,Canada,True,M,Guo,Zhenyu,1963,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,81,India,Delhi,Electrical equipment,Manufacturing,India,False,M,Gupta,Surjit Kumar,1942,80.4%,2611000000000,28.1%,69.4,1366417754
1575,1.9,39,Switzerland,Wollerau,Conglomerate,Diversified,Norway,False,F,Hagen Kjos,Caroline,1984,-0.5%,703082435360,59.6%,83.6,8574832
1575,1.9,81,Mexico,Mexico City,"Banking, investments",Finance & Investments,Mexico,True,M,Hernandez Ramirez,Roberto,1942,41.5%,1258286717125,40.2%,75.0,126014024
1575,1.9,55,United States,Palo Alto,LinkedIn,Technology,United States,True,M,Hoffman,Reid,1967,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,64,China,Jinhua,Chemicals,Manufacturing,China,True,M,Hu,Rongda,1959,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,63,United States,Jackson,Storage facilities,Real Estate,United States,False,M,Hughes,B. Wayne,1959,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,64,United States,Naples,Private equity,Finance & Investments,United States,True,M,Kapnick,Scott,1959,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,77,United States,Santa Monica,Investments,Finance & Investments,United States,True,M,Kayne,Richard,1946,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,45,United Kingdom,London,Diversified,Finance & Investments,Poland,False,F,Kulczyk,Dominika,1977,19.6%,2827113184696,60.0%,81.3,66834405
1575,1.9,60,United States,Miami Beach,Sears,Finance & Investments,United States,True,M,Lampert,Edward,1962,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,65,Thailand,Bangkok,Diversified,Diversified,Thailand,False,M,Lamsam,Somsri,1957,13.3%,543649976166,49.3%,76.9,69625582
1575,1.9,85,United States,Indian Hills,Cheese,Food & Beverage,United States,False,M,Leprino,James,1937,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,61,United States,Monsey,Real estate,Real Estate,United States,True,M,Lichtenstein,David,1961,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,56,China,Beijing,Real estate,Real Estate,Hong Kong,True,M,Lin,Dingqiang,1966,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,69,United States,Los Angeles,Cargill,Food & Beverage,United States,False,F,MacMillan,Sarah,1954,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,62,United Kingdom,London,Telecom,Telecom,Zimbabwe,True,M,Masiyiwa,Strive,1961,19.6%,2827113184696,60.0%,81.3,66834405
1575,1.9,55,United Kingdom,"St. Brelade, Jersey",Price comparison website,Technology,United Kingdom,True,M,Nixon,Simon,1967,19.6%,2827113184696,60.0%,81.3,66834405
1575,1.9,74,Japan,Tokyo,Restaurants,Food & Beverage,Japan,True,M,Ogawa,Kentaro,1948,5.5%,5081769542380,63.2%,84.2,126226568
1575,1.9,65,India,Mumbai,Adhesives,Manufacturing,India,False,M,Parekh,Ajay,1957,80.4%,2611000000000,28.1%,69.4,1366417754
1575,1.9,84,India,Mumbai,Adhesives,Manufacturing,India,False,M,Parekh,Narendrakumar,1938,80.4%,2611000000000,28.1%,69.4,1366417754
1575,1.9,72,United States,Chicago,"Hotels, investments",Finance & Investments,United States,False,F,Pritzker,Jennifer,1950,17.2%,21427700000000,88.2%,78.5,328239523
1575,1.9,80,India,Chennai,Jewellery,Fashion & Retail,India,True,M,Rajendran,G.,1942,80.4%,2611000000000,28.1%,69.4,1366417754
1575,1.9,66,China,Hangzhou,Kitchen appliances,Manufacturing,China,True,M,Ren,Jianhua,1956,25.1%,19910000000000,50.6%,77.0,1397715000
1575,1.9,53,United States,Alpine,Hedge funds,Finance & Investments,United States,True,M,Robbins,Larry,1969,17.2%,21427700000000,88.2%,78.5,328239523
